# Product: e-CALLISTO_2022_04.txt
# Prepared by PI e-Callisto
# Please send comments and suggestions to christian.monstein(at)irsol.usi.ch
#
# Missing data: ##:##-##:##
#
#Date		Time		Type	Stations
#-------------------------------------------------------------------------------
20220401	00:57-00:58	III	ALASKA-COHOE, ALASKA-HAARP
20220401	01:11-01:12	III	Australia-ASSA	
20220401	01:35-01:39	III	Australia-ASSA
20220401	02:19-02:26	III	Australia-ASSA
20220401	03:18-03:22	III	Australia-ASSA
20220401	04:04-09:47	CTM	KRIM, SOUTHAFRICA-SANSA
20220401	04:44-04:45	III	Australia-ASSA
20220401	08:06-08:06	III	DENMARK, HUMAIN, INDIA-GAURI, INDIA-UDAIPUR	
20220401	13:02-13:06	III	Arecibo-Observatory, GLASGOW, GREENLAND	
20220401	13:35-13:41	III	Arecibo-Observatory, GLASGOW, GREENLAND, HUMAIN, SOUTHAFRICA-SANSA	
20220401	13:52-13:53	III	Arecibo-Observatory, GLASGOW, GREENLAND	
20220401	15:37-15:40	III	Arecibo-Observatory, GREENLAND	
20220401	18:16-18:28	VI	Arecibo-Observatory	
20220401	18:51-18:51	III	Arecibo-Observatory
20220401	21:18-23:34	VI	ALASKA-COHOE, ALASKA-HAARP, (Australia-ASSA)	
20220401	21:22-21:22	III	ROSWELL-NM	
20220402	00:23-00:23	III	ALASKA-COHOE, ALASKA-HAARP
20220402	01:02-05:24	VI	Australia-ASSA	
20220402	02:46-02:26	III	ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-GAURI, (INDIA-OOTY), INDONESIA	
20220402	06:31-06:31	III	Australia-ASSA, HUMAIN, INDIA-GAURI	
20220402	06:49-06:49	III	Australia-ASSA, HUMAIN	
20220402	08:03-08:17	VI	AUSTRIA-UNIGRAZ, DENMARK, GLASGOW, HUMAIN, INDIA-GAURI, SWISS-Landschlacht
20220402	08:16-08:17	III	AUSTRIA-UNIGRAZ, DENMARK, GLASGOW, HUMAIN, INDIA-GAURI, (INDIA-OOTY), SWISS-HEITERSWIL, SWISS-Landschlacht	
20220402	08:51-08:52	III	AUSTRIA-UNIGRAZ, BIR, DENMARK, (EGYPT-Alexandria), GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, SOUTHAFRICA-SANSA, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-Landschlacht
20220402	09:02-09:03	III	AUSTRIA-UNIGRAZ, DENMARK, (EGYPT-Alexandria), GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, SOUTHAFRICA-SANSA, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-Landschlacht	
20220402	09:15-09:29	VI	AUSTRIA-UNIGRAZ, BIR, DENMARK, EGYPT-Alexandria, GLASGOW, HUMAIN, INDIA-GAURI, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST	
20220402	09:33-09:33	III	AUSTRIA-UNIGRAZ, BIR, DENMARK, EGYPT-Alexandria, GLASGOW, HUMAIN, INDIA-GAURI, SWISS-HEITERSWIL, SWISS-Landschlacht, (SWISS-MUHEN), (TRIEST)	
20220402	09:45-09:48	III	AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, DENMARK, EGYPT-Alexandria, GLASGOW, HUMAIN, INDIA-GAURI, SWISS-Landschlacht, TRIEST	
20220402	10:02-17:14	CTM	AUSTRIA-MICHELBACH, AUSTRIA-UNIGRAZ, Arecibo-Observatory, DENMARK, GLASGOW, HUMAIN, KRIM, SOUTHAFRICA-SANSA, SWISS-HEITERSWIL, SWISS-Landschlacht	
20220402	12:53-12:57	V?	Arecibo-Observatory, BIR, (INPE), SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST	
20220402	13:23-13:38	II	AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Arecibo-Observatory, (BIR), DENMARK, EGYPT-Alexandria, GLASGOW, GREENLAND, HUMAIN, HURBANOVO, (INPE), MEXART, MRO, SOUTHAFRICA-SANSA, SPAIN-PERALEJOS, SWISS-HB9SCT, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST	
