# Product: e-CALLISTO_2023_03.txt
# Prepared by PI e-Callisto
# Please send comments and suggestions to christian.monstein(at)irsol.usi.ch
#
# Missing data: ##:##-##:##
#
#Date	Time	Type	Stations
#-------------------------------------------------------------------------------
20230301	00:03-05:03	CTM	Australia-ASSA
20230301	01:38-01:39	V	ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-OOTY, INDONESIA, (KASI), MONGOLIA-UB, Malaysia-Banting, SSRT, THAILAND-BKK
20230301	04:15-04:16	III	ALMATY, INDIA-OOTY, INDIA-UDAIPUR, INDONESIA, MONGOLIA-UB, Malaysia-Banting, (SRI-Lanka), SSRT
20230301	11:43-11:43	III	ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, (Arecibo-Observatory), GERMANY-DLR, GLASGOW, HUMAIN, INDIA-UDAIPUR, NORWAY-EGERSUND, SWISS-Landschlacht, (SWISS-MUHEN)
20230301	13:15-13:15	III	GLASGOW
20230301	13:45-13:58	VI	Arecibo-Observatory, GERMANY-DLR, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht
20230301	13:56-15:57	CTM	Arecibo-Observatory, GLASGOW, HUMAIN, (SWISS-Landschlacht)
20230301	15:29-15:34	III	Arecibo-Observatory, GERMANY-DLR, GLASGOW, HUMAIN
20230301	18:05-18:05	III	Arecibo-Observatory
20230301	18:24-18:24	III	Arecibo-Observatory, MEXICO-LANCE
20230301	19:09-19:09	III	Arecibo-Observatory, MEXICO-LANCE
20230301	19:15-19:16	III	Arecibo-Observatory, MEXICO-LANCE
20230301	22:30-22:33	III	ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE
20230301	23:22-23:22	III	ALASKA-COHOE, ALASKA-HAARP
20230302	00:02-08:54	CTM	Australia-ASSA, SSRT
20230302	06:31-06:32	III	AUSTRIA-UNIGRAZ, HUMAIN, INDIA-OOTY, INDIA-UDAIPUR, SSRT
20230302	16:16-16:17	III	HUMAIN, MEXICO-LANCE
20230302	17:10-18:40+	CTM	Arecibo-Observatory, MEXICO-LANCE
20230302	17:40-17:41	III	Arecibo-Observatory, MEXICO-LANCE
20230302	19:18-19:18	III	Arecibo-Observatory, USA-ARIZONA-ERAU
20230302	21:07-21:11	III	ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE
20230302	21:33-22:52	CTM	MEXICO-LANCE
20230302	23:01-23:01	RBR	ALASKA-ANCHORAGE
20230303	01:37-01:37	III	Australia-ASSA
20230303	02:17-02:18	III	Australia-ASSA
20230303	03:17-03:19	III	ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, Malaysia-Banting, SRI-Lanka, SSRT
20230303	03:55-03:57	III	Australia-ASSA
20230303	04:11-04:11	III	Australia-ASSA
20230303	04:48-04:55	III	ALMATY, Australia-ASSA, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, SSRT
20230303	05:52-05:53	III	Australia-ASSA
20230303	06:30-06:32	III	ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, (INDIA-GAURI), INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, Malaysia-Banting, SSRT
20230303	11:05-11:56	CTM	GLASGOW
20230303	12:03-12:04	III	AUSTRIA-UNIGRAZ, Arecibo-Observatory, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TRIEST
20230303	14:40-14:42	RBR	GLASGOW, HUMAIN, NORWAY-EGERSUND
20230303	14:47-15:12	VI	Arecibo-Observatory, GLASGOW, (MEXICO-LANCE)
20230303	17:51-18:00	III	Arecibo-Observatory, MEXICO-LANCE
20230303	18:01-18:25	II	Arecibo-Observatory, MEXICO-LANCE, (USA-ARIZONA-ERAU)
20230303	18:09-19:10	IV	Arecibo-Observatory, MEXICO-LANCE
20230303	19:49-19:52	III	ALASKA-COHOE, ALASKA-HAARP, Arecibo-Observatory, MEXICO-LANCE, ROSWELL-NM 
20230304	02:20-02:22	III	Australia-ASSA, SSRT, USA-ARIZONA-ERAU
20230304	02:30-02:32	III	Australia-ASSA, SSRT
20230304	03:36-03:36	RBR	Australia-ASSA, INDIA-OOTY, SSRT
20230304	03:44-03:45	RBR	Australia-ASSA
20230304	03:59-04:07	III	ALMATY, Australia-ASSA, INDIA-OOTY, MONGOLIA-UB, SSRT
20230304	04:56-05:00	III	ALMATY, Australia-ASSA, INDIA-OOTY, Malaysia-Banting, MRT1, SSRT
